button,timestamp,state
blue_button,2025-02-19 12:16:02.808729,0
blue_button,2025-02-19 12:16:02.909947,0
blue_button,2025-02-19 12:16:03.011622,0
blue_button,2025-02-19 12:16:03.112903,0
blue_button,2025-02-19 12:16:03.214025,0
blue_button,2025-02-19 12:16:03.315529,0
blue_button,2025-02-19 12:16:03.416699,0
blue_button,2025-02-19 12:16:03.517819,0
blue_button,2025-02-19 12:16:03.618907,0
blue_button,2025-02-19 12:16:03.719970,0
blue_button,2025-02-19 12:16:03.820916,0
blue_button,2025-02-19 12:16:03.921825,0
blue_button,2025-02-19 12:16:04.022785,0
blue_button,2025-02-19 12:16:04.123672,0
blue_button,2025-02-19 12:16:04.224566,0
blue_button,2025-02-19 12:16:04.325697,0
blue_button,2025-02-19 12:16:04.426712,0
blue_button,2025-02-19 12:16:04.527657,1
blue_button,2025-02-19 12:16:04.628586,1
blue_button,2025-02-19 12:16:04.729492,1
blue_button,2025-02-19 12:16:04.830391,1
blue_button,2025-02-19 12:16:04.931294,1
blue_button,2025-02-19 12:16:05.032187,1
blue_button,2025-02-19 12:16:05.133047,1
blue_button,2025-02-19 12:16:05.233904,1
blue_button,2025-02-19 12:16:05.334895,1
blue_button,2025-02-19 12:16:05.435793,1
blue_button,2025-02-19 12:16:05.536662,1
blue_button,2025-02-19 12:16:05.637532,1
blue_button,2025-02-19 12:16:05.738397,1
blue_button,2025-02-19 12:16:05.839288,1
blue_button,2025-02-19 12:16:05.940171,1
blue_button,2025-02-19 12:16:06.041042,1
blue_button,2025-02-19 12:16:06.141890,1
blue_button,2025-02-19 12:16:06.242762,1
blue_button,2025-02-19 12:16:06.343692,1
blue_button,2025-02-19 12:16:06.444571,1
blue_button,2025-02-19 12:16:06.545422,1
blue_button,2025-02-19 12:16:06.646264,1
blue_button,2025-02-19 12:16:06.747146,1
blue_button,2025-02-19 12:16:06.848217,1
blue_button,2025-02-19 12:16:06.949179,1
blue_button,2025-02-19 12:16:07.050111,1
blue_button,2025-02-19 12:16:07.151020,1
blue_button,2025-02-19 12:16:07.251909,1
blue_button,2025-02-19 12:16:07.353236,1
blue_button,2025-02-19 12:16:07.454593,1
blue_button,2025-02-19 12:16:07.555902,1
blue_button,2025-02-19 12:16:07.657176,1
blue_button,2025-02-19 12:16:07.758441,1
blue_button,2025-02-19 12:16:07.859744,1
blue_button,2025-02-19 12:16:07.961053,1
blue_button,2025-02-19 12:16:08.062740,1
blue_button,2025-02-19 12:16:08.164188,1
blue_button,2025-02-19 12:16:08.265557,1
blue_button,2025-02-19 12:16:08.366999,1
blue_button,2025-02-19 12:16:08.468373,1
blue_button,2025-02-19 12:16:08.569719,1
blue_button,2025-02-19 12:16:08.671139,1
blue_button,2025-02-19 12:16:08.772480,1
blue_button,2025-02-19 12:16:08.873799,1
blue_button,2025-02-19 12:16:08.975141,0
blue_button,2025-02-19 12:16:09.076439,1
blue_button,2025-02-19 12:16:09.177716,1
blue_button,2025-02-19 12:16:09.279160,1
blue_button,2025-02-19 12:16:09.380495,1
blue_button,2025-02-19 12:16:09.481792,1
blue_button,2025-02-19 12:16:09.583113,1
blue_button,2025-02-19 12:16:09.684408,1
blue_button,2025-02-19 12:16:09.785662,0
blue_button,2025-02-19 12:16:09.886955,0
blue_button,2025-02-19 12:16:09.988233,0
blue_button,2025-02-19 12:16:10.089503,1
blue_button,2025-02-19 12:16:10.190824,1
blue_button,2025-02-19 12:16:10.292162,1
blue_button,2025-02-19 12:16:10.393442,1
blue_button,2025-02-19 12:16:10.494735,1
blue_button,2025-02-19 12:16:10.595994,1
blue_button,2025-02-19 12:16:10.697026,0
blue_button,2025-02-19 12:16:10.798297,0
blue_button,2025-02-19 12:16:10.899577,0
blue_button,2025-02-19 12:16:11.000868,1
blue_button,2025-02-19 12:16:11.102130,1
blue_button,2025-02-19 12:16:11.203417,1
blue_button,2025-02-19 12:16:11.304791,0
blue_button,2025-02-19 12:16:11.406106,0
blue_button,2025-02-19 12:16:11.507407,0
blue_button,2025-02-19 12:16:11.608690,0
blue_button,2025-02-19 12:16:11.709946,1
blue_button,2025-02-19 12:16:11.811470,1
blue_button,2025-02-19 12:16:11.912818,1
blue_button,2025-02-19 12:16:12.014169,1
blue_button,2025-02-19 12:16:12.115494,1
blue_button,2025-02-19 12:16:12.216800,1
blue_button,2025-02-19 12:16:12.318140,1
blue_button,2025-02-19 12:16:12.419459,1
blue_button,2025-02-19 12:16:12.520722,1
blue_button,2025-02-19 12:16:12.621999,1
